date,"anderson, cd",baltimor.d,"beadle, gw","bethe, ha","delbruck, m","dulbecco, r","feynman, rp","fowler, wa","glashow, sl","grubbs, r","hershko, a","hofstadter, r","holley, rw","lewis, eb","lipscomb, w","marcus, r","millikan, ra","molina, m","morgan, th","mossbauer, rl","nambu, yoichiro","politzer, hd","sperry, rw","watson, jd","zewail, a"
1892.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1896.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1904.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
1908.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
1912.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
1916.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
1920.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
1924.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
1928.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1932.0,6.0,0.0,8.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
1936.0,6.0,0.0,12.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1940.0,3.0,0.0,7.0,0.0,6.0,0.0,1.0,7.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,9.0,0.0,5.0,0.0,0.0,0.0,3.0,0.0,0.0
1944.0,0.0,0.0,6.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,6.0,0.0,0.0,0.0,10.0,0.0,0.0
1948.0,4.0,0.0,4.0,0.0,0.0,0.0,7.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0
1952.0,2.0,0.0,0.0,0.0,0.0,1.0,7.0,11.0,0.0,0.0,0.0,2.0,5.0,2.0,3.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1956.0,3.0,0.0,1.0,0.0,1.0,0.0,11.0,15.0,0.0,0.0,0.0,1.0,9.0,3.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0
1960.0,0.0,0.0,1.0,0.0,3.0,0.0,2.0,13.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,5.0,0.0,0.0,0.0,1.0,2.0,0.0,6.0,0.0,0.0
1964.0,0.0,3.0,0.0,0.0,2.0,0.0,5.0,20.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,22.0,0.0,0.0,0.0,1.0,2.0,0.0,9.0,0.0,0.0
1968.0,0.0,2.0,1.0,1.0,2.0,0.0,7.0,14.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0
1972.0,0.0,10.0,0.0,1.0,4.0,0.0,4.0,14.0,0.0,18.0,0.0,0.0,0.0,0.0,3.0,25.0,0.0,0.0,1.0,1.0,0.0,1.0,13.0,0.0,12.0
1976.0,0.0,17.0,0.0,0.0,7.0,0.0,5.0,11.0,0.0,23.0,0.0,0.0,1.0,1.0,1.0,24.0,0.0,0.0,0.0,0.0,2.0,15.0,10.0,0.0,18.0
1980.0,0.0,25.0,2.0,0.0,4.0,0.0,3.0,8.0,0.0,21.0,0.0,2.0,0.0,1.0,3.0,24.0,0.0,0.0,0.0,0.0,1.0,9.0,7.0,0.0,34.0
1984.0,0.0,16.0,0.0,1.0,0.0,0.0,1.0,13.0,0.0,43.0,0.0,0.0,1.0,3.0,2.0,30.0,0.0,0.0,0.0,0.0,0.0,5.0,8.0,0.0,61.0
1988.0,0.0,31.0,0.0,0.0,0.0,0.0,5.0,10.0,0.0,52.0,0.0,0.0,0.0,2.0,2.0,37.0,0.0,2.0,0.0,0.0,0.0,9.0,4.0,0.0,49.0
1992.0,0.0,38.0,0.0,0.0,0.0,0.0,3.0,7.0,0.0,39.0,0.0,0.0,0.0,1.0,0.0,32.0,0.0,1.0,0.0,0.0,0.0,6.0,3.0,0.0,48.0
1996.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,5.0,1.0,18.0,0.0,1.0,0.0,0.0,0.0,5.0,3.0,0.0,45.0
2000.0,0.0,15.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,82.0,2.0,0.0,0.0,3.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,58.0
2004.0,0.0,19.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,54.0,1.0,0.0,0.0,5.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0
2008.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,70.0
2012.0,0.0,40.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,117.0,0.0,0.0,0.0,1.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0
