date,"bethe, ha","betzig, e","debye, p",greengar.p,"hoffmann, r","holley, rw","lee, dm","moerner, w","richards, rc","schally, av","schrieffer, jr","sumner, j","thouless, dj","varmus, he","wilson, kg"
1892.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1896.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1904.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1908.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1912.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1916.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1920.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1924.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1928.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
1932.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
1936.0,16.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1940.0,10.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
1944.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
1948.0,2.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1952.0,15.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
1956.0,17.0,0.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
1960.0,5.0,0.0,8.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1964.0,7.0,0.0,10.0,0.0,18.0,7.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
1968.0,12.0,0.0,5.0,0.0,17.0,3.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0
1972.0,5.0,0.0,0.0,0.0,69.0,5.0,3.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0
1976.0,9.0,0.0,0.0,1.0,39.0,4.0,4.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,1.0
1980.0,4.0,0.0,0.0,0.0,66.0,2.0,1.0,2.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0
1984.0,7.0,0.0,0.0,0.0,66.0,2.0,4.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
1988.0,11.0,5.0,0.0,0.0,86.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
1992.0,17.0,0.0,0.0,0.0,73.0,0.0,1.0,0.0,9.0,2.0,0.0,0.0,1.0,1.0,0.0
1996.0,20.0,0.0,0.0,2.0,47.0,0.0,3.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
2000.0,15.0,0.0,0.0,1.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004.0,4.0,0.0,0.0,1.0,47.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008.0,1.0,0.0,0.0,0.0,53.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2012.0,0.0,0.0,0.0,0.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016.0,0.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
