pub,prize,discipline,affiliation,laureate
1933.0,1936,physics,california institute of technology,"anderson, cd"
1941.0,1958,medicine,california institute of technology,"beadle, gw"
1950.0,1965,physics,california institute of technology,"feynman, rp"
1948.0,1965,physics,california institute of technology,"feynman, rp"
1948.0,1965,physics,california institute of technology,"feynman, rp"
1949.0,1965,physics,california institute of technology,"feynman, rp"
1949.0,1965,physics,california institute of technology,"feynman, rp"
1951.0,1983,physics,california institute of technology,"fowler, wa"
1992.0,2005,chemistry,california institute of technology,"grubbs, r"
1993.0,2005,chemistry,california institute of technology,"grubbs, r"
1978.0,1995,medicine,california institute of technology,"lewis, eb"
1956.0,1992,chemistry,california institute of technology,"marcus, r"
1910.0,1923,physics,california institute of technology,"millikan, ra"
1910.0,1923,physics,california institute of technology,"millikan, ra"
1916.0,1933,medicine,california institute of technology,"morgan, th"
1958.0,1961,physics,california institute of technology,"mossbauer, rl"
1973.0,2004,physics,california institute of technology,"politzer, hd"
1963.0,1981,medicine,california institute of technology,"sperry, rw"
1988.0,1999,chemistry,california institute of technology,"zewail, a"
1994.0,2008,chemistry,columbia university,"chalfie, m"
1970.0,2000,medicine,columbia university,"kandel, er"
1948.0,1955,physics,columbia university,"kusch, p"
1956.0,1957,physics,columbia university,"lee, td"
1950.0,1975,physics,columbia university,"rainwater, j"
1947.0,1956,medicine,columbia university,"richards, dw"
1948.0,1956,medicine,columbia university,"richards, dw"
1948.0,1956,medicine,columbia university,"richards, dw"
1982.0,1998,physics,columbia university,"stormer, hl"
1959.0,1990,medicine,columbia university,thomas ed
1939.0,1967,physics,cornell university,"bethe, ha"
1912.0,1936,chemistry,cornell university,"debye, p"
1963.0,1981,chemistry,cornell university,"hoffmann, r"
1969.0,1981,chemistry,cornell university,"hoffmann, r"
1965.0,1981,chemistry,cornell university,"hoffmann, r"
1965.0,1981,chemistry,cornell university,"hoffmann, r"
1965.0,1981,chemistry,cornell university,"hoffmann, r"
1926.0,1946,chemistry,cornell university,"sumner, j"
1966.0,1980,medicine,harvard university,benacerr.b
1963.0,1980,medicine,harvard university,benacerr.b
1963.0,1980,medicine,harvard university,benacerr.b
1963.0,1980,medicine,harvard university,benacerr.b
1961.0,1980,medicine,harvard university,benacerr.b
1962.0,1981,physics,harvard university,"bloember, n"
1962.0,1981,physics,harvard university,"bloember, n"
1914.0,1946,physics,harvard university,"bridgman, pw"
1914.0,1946,physics,harvard university,"bridgman, pw"
1914.0,1946,physics,harvard university,"bridgman, pw"
1959.0,1990,chemistry,harvard university,"corey, e"
1977.0,1980,chemistry,harvard university,"gilbert, w"
1963.0,2005,physics,harvard university,"glauber, rj"
1963.0,2005,physics,harvard university,"glauber, rj"
1969.0,1986,chemistry,harvard university,herschba.dr
1970.0,1986,chemistry,harvard university,herschba.dr
1962.0,1981,medicine,harvard university,"hubel, dh"
1968.0,1981,medicine,harvard university,"hubel, dh"
1963.0,1981,medicine,harvard university,"hubel, dh"
1965.0,1981,medicine,harvard university,"hubel, dh"
1965.0,1981,medicine,harvard university,"hubel, dh"
1961.0,1976,chemistry,harvard university,"lipscomb, w"
1956.0,1990,medicine,harvard university,"murray, je"
1946.0,1952,physics,harvard university,"purcell, em"
1950.0,1989,physics,harvard university,"ramsey, nf"
1903.0,1914,chemistry,harvard university,"richards, t"
1905.0,1914,chemistry,harvard university,"richards, t"
1905.0,1914,chemistry,harvard university,"richards, t"
1982.0,2009,medicine,harvard university,"szostak, jw"
1952.0,1965,chemistry,harvard university,"woodward, r"
1959.0,1965,chemistry,harvard university,"woodward, r"
1958.0,1965,chemistry,harvard university,"woodward, r"
1928.0,1950,chemistry,massachusetts institute of technology,"alder, k"
1986.0,2002,medicine,massachusetts institute of technology,"horvitz, hr"
1961.0,1968,medicine,massachusetts institute of technology,"khorana, hg"
1963.0,1968,medicine,massachusetts institute of technology,"khorana, hg"
1959.0,1968,medicine,massachusetts institute of technology,"khorana, hg"
1943.0,1969,medicine,massachusetts institute of technology,"luria, se"
1990.0,2005,chemistry,massachusetts institute of technology,"schrock, r"
1990.0,2005,chemistry,massachusetts institute of technology,"schrock, r"
1977.0,1993,medicine,massachusetts institute of technology,"sharp, pa"
1951.0,1994,physics,massachusetts institute of technology,"shull, cg"
1974.0,1976,physics,massachusetts institute of technology,"ting, scc"
1970.0,1995,chemistry,max planck society,"crutzen, p"
1954.0,1967,chemistry,max planck society,"eigen, m"
1974.0,2007,chemistry,max planck society,"ertl, g"
1974.0,2007,chemistry,max planck society,"ertl, g"
1974.0,2007,chemistry,max planck society,"ertl, g"
1976.0,2007,chemistry,max planck society,"ertl, g"
1977.0,2007,chemistry,max planck society,"ertl, g"
1978.0,2007,chemistry,max planck society,"ertl, g"
2002.0,2005,physics,max planck society,"hansch, tw"
2002.0,2005,physics,max planck society,"hansch, tw"
1994.0,2014,chemistry,max planck society,"hell, s"
1949.0,1963,physics,max planck society,"jensen, jhd"
1933.0,1938,chemistry,max planck society,"kuhn, r"
1935.0,1973,medicine,max planck society,"lorenz, k"
1937.0,1973,medicine,max planck society,"lorenz, k"
1937.0,1973,medicine,max planck society,"lorenz, k"
1953.0,1964,medicine,max planck society,"lynen, f"
1958.0,1961,physics,max planck society,"mossbauer, rl"
1981.0,1991,medicine,max planck society,"neher, e"
1980.0,1995,medicine,max planck society,"nussleinvolhard, c"
1981.0,1991,medicine,max planck society,"sakmann, b"
1958.0,1977,physics,princeton university,"anderson, pw"
1975.0,1993,physics,princeton university,"hulse, ra"
1962.0,2008,chemistry,princeton university,shimomur.o
1932.0,1963,physics,princeton university,"wigner, ep"
1934.0,1963,physics,princeton university,"wigner, ep"
1906.0,1912,medicine,rockefeller university,"carrel, a"
1910.0,1912,medicine,rockefeller university,"carrel, a"
1908.0,1912,medicine,rockefeller university,"carrel, a"
1907.0,1912,medicine,rockefeller university,"carrel, a"
1946.0,1974,medicine,rockefeller university,"claude, a"
1945.0,1974,medicine,rockefeller university,"claude, a"
1946.0,1974,medicine,rockefeller university,"claude, a"
1946.0,1974,medicine,rockefeller university,"claude, a"
1969.0,2000,medicine,rockefeller university,greengar.p
1952.0,1967,medicine,rockefeller university,"hartline, hk"
1946.0,1958,medicine,rockefeller university,"lederberg, j"
1945.0,1953,medicine,rockefeller university,"lipmann, f"
1963.0,1984,chemistry,rockefeller university,merrifie.rb
1929.0,1946,chemistry,rockefeller university,"northrop, j"
1955.0,1974,medicine,rockefeller university,"palade, ge"
1955.0,1974,medicine,rockefeller university,"palade, ge"
1910.0,1966,medicine,rockefeller university,"rous, p"
1911.0,1966,medicine,rockefeller university,"rous, p"
1936.0,1946,chemistry,rockefeller university,"stanley, w"
1936.0,1946,chemistry,rockefeller university,"stanley, w"
1958.0,1972,chemistry,rockefeller university,"stein, w"
1958.0,1972,chemistry,rockefeller university,"stein, w"
1973.0,2011,medicine,rockefeller university,"steinman, rm"
1977.0,1980,chemistry,stanford university,"berg, p"
1946.0,1952,physics,stanford university,"bloch, f"
1986.0,1997,physics,stanford university,"chu, s"
1936.0,1974,chemistry,stanford university,"flory, p"
1937.0,1974,chemistry,stanford university,"flory, p"
1949.0,1961,physics,stanford university,"hofstadter, r"
1958.0,1959,medicine,stanford university,"kornberg, a"
1974.0,2006,chemistry,stanford university,"kornberg, r"
1983.0,1998,physics,stanford university,"laughlin, rb"
1975.0,2013,chemistry,stanford university,"levitt, m"
1976.0,2013,chemistry,stanford university,"levitt, m"
2000.0,2014,chemistry,stanford university,"moerner, w"
1975.0,1995,physics,stanford university,"perl, ml"
1958.0,1981,physics,stanford university,"schawlow, al"
1990.0,2013,medicine,stanford university,"sudhof, tc"
1992.0,2013,medicine,stanford university,"sudhof, tc"
1993.0,2013,medicine,stanford university,"sudhof, tc"
1994.0,2013,medicine,stanford university,"sudhof, tc"
1952.0,1983,chemistry,stanford university,"taube, h"
1969.0,1990,physics,stanford university,"taylor, re"
1968.0,1990,physics,stanford university,"taylor, re"
1969.0,1990,physics,stanford university,"taylor, re"
1969.0,1990,physics,stanford university,"taylor, re"
1906.0,1917,physics,university of cambridge,"barkla, cg"
1932.0,1948,physics,university of cambridge,"blackett, pms"
1933.0,1948,physics,university of cambridge,"blackett, pms"
1978.0,2010,medicine,university of cambridge,"edwards, rg"
1962.0,2012,medicine,university of cambridge,"gurdon, jb"
1962.0,2012,medicine,university of cambridge,"gurdon, jb"
1968.0,1974,physics,university of cambridge,"hewish, a"
1952.0,1963,medicine,university of cambridge,"hodgkin, al"
1962.0,1973,physics,university of cambridge,"josephson, bd"
1949.0,1967,chemistry,university of cambridge,"norrish, r"
1946.0,1974,physics,university of cambridge,"ryle, m"
1994.0,1997,chemistry,university of cambridge,"walker, j"
1911.0,1927,physics,university of cambridge,"wilson, ctr"
1961.0,1968,physics,university of chicago,"alvarez, lw"
1957.0,1968,physics,university of chicago,"alvarez, lw"
1931.0,1983,physics,university of chicago,"chandrasekhar, s"
1923.0,1927,physics,university of chicago,"compton, ah"
1923.0,1927,physics,university of chicago,"compton, ah"
1923.0,1927,physics,university of chicago,"compton, ah"
1964.0,1980,physics,university of chicago,"cronin, jw"
1934.0,1938,physics,university of chicago,"fermi, e"
1941.0,1966,medicine,university of chicago,"huggins, c"
1949.0,1960,chemistry,university of chicago,"libby, w"
1955.0,1966,chemistry,university of chicago,"mulliken, r"
1960.0,2008,physics,university of chicago,"nambu, yoichiro"
1961.0,2008,physics,university of chicago,"nambu, yoichiro"
1960.0,2008,physics,university of chicago,"nambu, yoichiro"
1983.0,1989,chemistry,yale university,"altman, s"
1947.0,1955,physics,yale university,"lamb, we"
1931.0,1968,chemistry,yale university,"onsager, l"
1993.0,2013,medicine,yale university,"rothman, je"
1998.0,2013,medicine,yale university,"rothman, je"
1998.0,2013,medicine,yale university,"rothman, je"
1993.0,2013,medicine,yale university,"rothman, je"
2000.0,2009,chemistry,yale university,"steitz, t"
2000.0,2009,chemistry,yale university,"steitz, t"
2000.0,2009,chemistry,yale university,"steitz, t"
