date,albert a. michelson,"alvarez, lw","chandrasekhar, s","compton, ah","cronin, jw","fermi, e","herzberg, g.","huggins, c","koshiba, m","lederman, lm","libby, w","mulliken, r","nambu, yoichiro","rose, i","taube, h"
1892.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,1.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0
1896.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,1.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0
1900.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,1.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0
1904.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,1.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0
1908.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,1.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0
1912.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,1.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0
1916.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,1.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0
1920.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,1.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0
1924.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,1.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0
1928.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,1.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0
1932.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,1.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0
1936.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,1.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0
1940.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,1.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0
1944.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,1.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0
1948.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,1.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0
1952.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,1.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0
1956.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,1.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0
1960.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,1.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0
1964.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,1.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0
1968.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,1.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0
1972.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,1.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0
1976.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,1.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0
1980.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,1.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0
1984.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,1.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0
1988.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,1.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0
1992.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,1.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0
1996.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,1.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0
2000.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,1.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0
2004.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,1.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0
2008.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,1.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0
2012.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,1.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0
2016.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,1.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0
